,prix,Taxes_municipales,Taxes_scolaires,Electricite,Assurances,ville,region,adresse,chambres,salle_de_bain,salle_d_eau,etage,Aire_habitable,Taille_du_terrain
13,364900$,"2590,92$","182,76$","1131,00$","177,10$",Gatineau (Aylmer),Outaouais,"C-986, Boulevard Wilfrid-Lavigne",2,1,,1,1 000 pi² (92.9 m²),
14,754900$,"3212,74$","400,00$","1950,00$","985,00$",L'Ange-Gardien-Outaouais,Outaouais,"2, chemin de Ribot",3,2,1,2,2 059.57 pi² (191.34 m²),54 450.00 pi² (1.25 acre)
16,415000$,"2725,50$","207,14$","2280,96$","1105,26$",Sherbrooke (Fleurimont),Estrie,"2123, rue des Merisiers",2,2,,1,960 pi² (89.19 m²),"10,501 pi² (975.57 m²)"
17,400000$,,,,,Ste-Clotilde-De-Chateauguay,Montérégie (Rive-Sud Montréal),"46, rue des Colibris",3,2,1,1,"1,384 pi² (128.58 m²)","3,290 pi² (305.65 m²)"
18,249900$,,,,,LaSalle,Montréal / l'Île,"101-7700, rue Bouvier - VIDA Lasalle - PAR MONDEV",,1,,1,478 pi² (44.41 m²),
19,495000$,"1822,89$","262,83$","795,57$","636,56$",Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"206-2244, rue Harmony",2,1,1,1,960 pi² (89.19 m²),
20,199000$,"1962,85$","225,31$","5000,00$","3500,00$",Ste-Victoire-De-Sorel,Montérégie (Rive-Sud Montréal),"181, rang Rhimbault",3,1,1,1,,"53,819.55 pi² (5,000 m²)"
21,374900$,"3034,85$","225,89$","2000,00$",,Gatineau (Masson-Angers),Outaouais,"185, Des Becs-Scie",5,1,1,2,"1,360 pi² (126.35 m²)","3,288.4 pi² (305.5 m²)"
22,749000$,"3877,18$","393,32$","160,00$",,St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),Montérégie (Rive-Sud Montréal),"419, rue Schubert",4,1,1,2,1 650 pi² (153.29 m²),5 360 pi² (497.96 m²)
23,202000$,,,,,Ste-Hedwidge,Saguenay-Lac-Saint-Jean,"476, chemin du Lac-Rond",2,1,,1,900 pi² (83.61 m²),28 925 pi² (2 687.22 m²)
24,629900$,"3358,00$","388,00$","1680,00$",,Fabreville,Laval,"4216, rue Sylvio",2,1,1,2,1 240 pi² (115.2 m²),3 833 pi² (356.1 m²)
25,460000$,,,,,Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,"12111, rue de la Gauchetière",4,1,1,2,"1,270.14 pi² (118 m²)","1,575 pi² (146.32 m²)"
26,495000$,"1899,00$","251,00$",,,St-Lin-Laurentides,Lanaudière,"13, rue des Mélèzes",3,1,1,2,"1,500 pi² (139.35 m²)","14,000 pi² (1,300.64 m²)"
28,244900$,"2619,95$","227,31$","1000,00$",,Lebourgneuf,Québec Rive-Nord,"105-2305, rue de Bogota",2,1,1,1,"1,267 pi² (117.71 m²)",
29,459000$,"4400,00$","308,22$","1440,00$","1050,00$",Val-Bélair,Québec Rive-Nord,"1196, rue des Cithares",3,1,1,2,"1,350 pi² (125.42 m²)",51x103 pi (15.54x31.39 m)
30,249000$,"2444,00$","153,00$","2852,00$",,Jonquière (Arvida),Saguenay-Lac-Saint-Jean,"2752, rue Couture",3,2,1,2,"1,417 pi² (131.64 m²)","4,570.36 pi² (424.6 m²)"
31,591000$,,,,,Cap-Rouge,Québec Rive-Nord,"., Domaine Le Gendre- Par SMB Dallaire",3,1,1,2,28x28 pi (8.53x8.53 m),
32,559500$,,,,,Repentigny (Repentigny),Lanaudière,"381, rue Laval",5,2,1,2,"1,639 pi² (152.27 m²)","7,007 pi² (650.97 m²)"
33,995000$,"3987,00$","524,00$","2760,00$","1080,00$",La Prairie,Montérégie (Rive-Sud Montréal),"300, rue Médard-Hébert",5,1,1,2,2 281.95 pi² (212 m²),6 404.53 pi² (595 m²)
34,74745$,"185,24$",,,,St-Damien,Lanaudière,", chemin de l'Église",,,,,,22 650 pi² (2 104.25 m²)
35,460000$,,,,,Ste-Marthe-Sur-Le-Lac,Laurentides,40e avenue - Modèle le Granite I  Par Construction Briand,3,1,1,2,,4 438.50 pi² (412.35 m²)
36,440000$,"1485,22$","177,56$","1559,84$",,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"2223, rue Florian",1,1,,1,690 pi² (64.1 m²),1 300 pi² (120.77 m²)
37,326900$,"1349,07$",,"500,00$",,Mirabel (St-Canut),Laurentides,"405-10085, rue de l'Épervier",2,1,,4,1 065 pi² (98.94 m²),
38,179000$,"1747,36$","127,67$","637,39$",,Charlesbourg,Québec Rive-Nord,"102-1305, rue de la Montagne-des-Roches",2,1,,1,969.83 pi² (90.1 m²),
40,384999$,"1704,00$","160,00$",,,Blainville,Laurentides,"106-66, 37e Avenue Est",2,1,,1,1 236.02 pi² (114.83 m²),
41,225000$,"2342,28$",,"197,28$",,St-Bruno,Saguenay-Lac-Saint-Jean,"510, rue de Normandie",3,2,,1,912 pi² (84.73 m²),2 454 pi² (227.98 m²)
42,385000$,"3546,27$","286,49$","1149,60$","1324,00$",Beauport,Québec Rive-Nord,"53, rue Mercier",2,1,,1,975 pi² (90.58 m²),"5,625 pi² (522.58 m²)"
43,292000$,"2383,24$","201,39$","1320,00$",,Charlesbourg,Québec Rive-Nord,"1042, rue du Prince-Albert",2,1,1,2,1 221.70 pi² (113.5 m²),2 214.14 pi² (205.7 m²)
44,365500$,"1265,00$","198,00$","140,00$",,St-Nicolas,Québec Rive-Sud (Lévis),"816, rue de Vimy",4,1,1,2,"1,440 pi² (133.78 m²)","6,000 pi² (557.42 m²)"
45,950000$,"5845,00$","600,00$",,"1588,00$",St-Jérôme (St-Jérôme),Laurentides,"62, rue Brière",4,2,,,,6 448 pi² (599.04 m²)
46,389500$,,,,,Shawinigan (Shawinigan-Sud),Mauricie,"3640, avenue Jaques-Dolbec",5,2,,1,1 230 pi² (114.27 m²),65.62x104.99 pi (20x32 m)
47,445000$,"3300,00$","208,00$","2830,00$","1190,00$",Victoriaville,Centre-du-Québec,"52, rue Elphège",4,1,2,2,1 792 pi² (166.48 m²),5 715 pi² (530.94 m²)
48,329000$,"1846,00$","118,00$","510,00$","492,00$",Bromont,Estrie,"202-128, boulevard de Bromont",1,1,,1,600 pi² (55.74 m²),1 pi² (0.09 m²)
49,369000$,"1642,00$","148,20$","1200,00$","400,00$",Sorel-Tracy,Montérégie (Rive-Sud Montréal),"3325, rue Cournoyer",4,1,2,1,850.46 pi² (79.01 m²),3 742.61 pi² (347.7 m²)
50,1250000$,,,,,Ste-Adèle,Laurentides,"6572, chemin du Lac Pilon",,,,,,2 787 840.01 pi² (64 acres)
52,329999$,,,,,St-Marc-Du-Lac-Long,Bas-Saint-Laurent,"x, route 289",,,,,,1 140 296.38 pi² (105 937 m²)
53,485000$,"2500,00$","150,00$","1500,00$",,St-David-de-Falardeau,Saguenay-Lac-Saint-Jean,"191, rue de Méribel",3,1,,2,1 400 pi² (130.06 m²),1 808 pi² (167.97 m²)
54,460000$,"2904,00$","250,00$",,,St-Cesaire,Montérégie (Rive-Sud Montréal),"1835, Carré-Royer",4,2,,1,"1,140.97 pi² (106 m²)","6,542.30 pi² (607.8 m²)"
55,245000$,"1734,00$","66,00$","1127,00$",,Val-des-Sources,Estrie,"118, 21e Avenue",1,1,1,1,840 pi² (78.04 m²),50x230 pi (15.24x70.10 m)
56,550000$,"3307,22$","251,80$","1040,00$","1050,00$",Gatineau (Gatineau),Outaouais,"920, avenue du Cheval-Blanc",4,1,1,2,1 400 pi² (130.06 m²),4 564.97 pi² (424.1 m²)
57,177000$,"1789,24$","97,96$","700,00$","700,00$",Waterville,Estrie,"425, rue Principale Sud",2,1,,1,768 pi² (71.35 m²),768 pi² (71.35 m²)
58,559000$,"2391,96$","240,13$",,"1086,29$",Ste-Marthe-Sur-Le-Lac,Laurentides,"35, 36e Avenue",3,2,,1,856 pi² (79.53 m²),5 044 pi² (468.6 m²)
59,250000$,,,,,Entrelacs,Lanaudière,", route 125",,,,,,363 247 pi² (33 746.75 m²)
60,600000$,"3296,00$","267,40$",,,Sherbrooke (Rock Forest),Estrie,"679, rue Charlevoix",4,2,1,2,"1,536 pi² (142.7 m²)","5,617.68 pi² (521.9 m²)"
61,405000$,"3044,90$","277,00$","1728,00$",,Charlesbourg,Québec Rive-Nord,"2649, rue des Tours",4,1,1,1,1 280 pi² (118.92 m²),65x95 pi (19.81x28.96 m)
62,697000$,"3445,72$","463,54$",,"966,00$",Contrecoeur,Montérégie (Rive-Sud Montréal),"8440, route Marie-Victorin",4,2,,1,"1,176 pi² (109.25 m²)","25,190 pi² (2,340.23 m²)"
64,562000$,"2453,42$","284,26$","361,47$","423,84$",Griffintown,Montréal / l'Île,"604-1606, rue Ottawa",2,1,,1,837 pi² (77.76 m²),305 pi² (28.34 m²)
65,539000$,"2991,38$","265,11$","1900,00$","1000,00$",Terrebonne (Lachenaie),Lanaudière,"4529, rue des Ancêtres",4,2,,1,960 pi² (89.19 m²),4 500 pi² (418.06 m²)
66,548000$,"2865,00$","255,00$","2000,00$",,Lac-St-Charles,Québec Rive-Nord,"1796, chemin de la Passe",3,2,,2,1 047.33 pi² (97.3 m²),95.14x308.40 pi (29x94 m)
67,535000$,"2822,00$","298,00$","2400,00$",,St-Eustache,Laurentides,"261, rue Hugo",4,2,,1,988 pi² (91.79 m²),6 500 pi² (603.87 m²)
68,675000$,"5357,27$","334,47$","2083,00$","1296,01$",Trois-Rivières (Cap-De-La-Madeleine),Mauricie,"175, rue L.-P.-Brodeur",5,2,1,1,2 020 pi² (187.66 m²),11 160 pi² (1 036.8 m²)
69,225000$,"1398,56$",,,,St-Côme,Lanaudière,"x, 24e Avenue",,,,,,23 026 pi² (2 139.19 m²)
70,489999$,"3781,00$","294,00$","900,00$","503,00$",Gatineau (Gatineau),Outaouais,"102-517, rue de Cannes",3,2,,1,1 478 pi² (137.31 m²),
71,510000$,"3652,57$","358,21$","2331,87$","1556,04$",Lévis,Québec Rive-Sud (Lévis),"95, rue Philippe-Poulin",5,2,,2,1 237.85 pi² (115 m²),8 361 pi² (776.76 m²)
72,334900$,"2275,79$","202,10$","585,89$",,Repentigny (Repentigny),Lanaudière,"4-808C, rue Notre-Dame",2,1,1,1,"1,117 pi² (103.77 m²)",
73,734000$,"3546,00$",,"190,00$",,L'Ange-Gardien-Outaouais,Outaouais,"10, chemin du Grenat",3,3,,2,2 440 pi² (226.68 m²),50 558.09 pi² (4 697 m²)
74,1499999$,"7479,52$","920,60$","2744,97$",,Côte-des-Neiges / Notre-Dame-de-Grâce,Montréal / l'Île,"3445, avenue Montclair",4,3,1,2,1 800 pi² (167.23 m²),40x117 pi (12.19x35.66 m)
76,460000$,"3845,00$","235,00$","3400,00$","1100,00$",L'Assomption,Lanaudière,"A-B-160, rue Cazeneuve",3,1,,1,1 210 pi² (112.41 m²),5 000 pi² (464.52 m²)
77,179000$,"500,97$","33,00$",,,Cantley,Outaouais,"44, rue du Versant",,,,,,87 000 pi² (8 082.56 m²)
78,835225$,,,,,St-Colomban,Laurentides,"555, rue Adèle-Berthelot - Le Monaco Garage double - Par Habitation Cousineau",3,1,1,2,1 869 pi² (173.64 m²),28 600 pi² (2 657.03 m²)
79,274900$,"2331,68$","194,56$","1349,34$","1217,14$",Beauport,Québec Rive-Nord,"550, rue Miray",2,1,1,1,959.28 pi² (89.12 m²),3 999.87 pi² (371.6 m²)
80,743900$,,,,,St-Colomban,Laurentides,"549, rue Adèle-Berthelot - Barcelone - Par Habitation Cousineau",3,1,1,2,2 058 pi² (191.19 m²),32 123 pi² (2 984.32 m²)
81,269000$,"1733,57$","131,04$","1400,00$","1200,00$",St-Jean-De-Matha,Lanaudière,"51, avenue du Parc",2,1,,1,"1,052 pi² (97.73 m²)","11,456.03 pi² (1,064.3 m²)"
82,1575000$,,,,,St-Mathieu-De-Beloeil,Montérégie (Rive-Sud Montréal),"208, montée du Deuxième-Ruisseau",3,,,,,2 831 400.01 pi² (65 acres)
83,249000$,"1100,00$","87,03$","674,32$",,ND-Du-Bon-Conseil,Centre-du-Québec,"731, rue Notre-Dame",3,2,,2,"1,566 pi² (145.49 m²)","8,016 pi² (744.71 m²)"
84,845000$,"4713,00$","460,00$",,"1253,00$",La Prairie,Montérégie (Rive-Sud Montréal),"345-365, rue Beauchemin",8,3,,,,7 614 pi² (707.36 m²)
85,779000$,"4782,00$","465,00$","3200,00$",,St-Nicolas,Québec Rive-Sud (Lévis),"205, rue de l'Affluent",6,3,1,2,1 384 pi² (128.58 m²),65x205 pi (19.81x62.48 m)
86,624000$,"4212,45$","399,40$","4032,36$","1432,26$",Ile d'Orléans (St-Pierre),Québec Rive-Nord,"1066, rue des Gardenias",5,2,1,2,1 861 pi² (172.89 m²),21 200 pi² (1 969.54 m²)
88,932500$,"5194,55$","597,58$",,,Rivière des Prairies,Montréal / l'Île,"7798, boulevard Gouin Est",3,2,1,3,1 660 pi² (154.22 m²),2 263.00 pi² (210.24 m²)
89,576900$,"3144,85$","305,27$","1444,00$",,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),"4312, rue des Montgolfières",3,1,,1,"1,433 pi² (133.13 m²)",
90,251573$,,,,,Ste-Marthe-Sur-Le-Lac,Laurentides,"., Rue Lambert-Binette - Par Construction Briand",2,1,,1,16x60 pi (4.88x18.29 m),
91,239000$,"2449,98$","107,42$",,,Canton-de-Hatley,Estrie,"X, rue des Méandres",,,,,,85 842 pi² (7 974.98 m²)
92,280000$,"2297,95$","196,61$","731,35$","237,62$",Ste-Foy,Québec Rive-Nord,"615-999, rue Beauregard",2,1,,1,900 pi² (83.61 m²),
93,280000$,"2800,00$","138,00$",,,Trois-Rivières (Trois-Rivières),Mauricie,"700, Rue Gilles Lupien- Par Construction D.M. Turcotte",2,1,1,2,1 260 pi² (117.06 m²),
94,185000$,,,,,St-André-Du-Lac-St-Jean,Saguenay-Lac-Saint-Jean,"89, chemin des Lapointe",2,1,,2,,"120,000 pi² (11,148.36 m²)"
95,500000$,,,,,Rimouski (Rimouski),Bas-Saint-Laurent,rue du Père Joseph-Jean,,,,,,1 020 231.42 pi² (94 782.6 m²)
96,749000$,"4193,01$","397,18$","2994,00$","924,00$",St-Hyacinthe (Douville),Montérégie (Rive-Sud Montréal),"2040, rue Jean-Noel Dion",3,2,1,3,1 159 pi² (107.67 m²),5 166.68 pi² (480 m²)
97,389000$,"1674,79$","223,33$","607,08$","610,32$",Boucherville,Montérégie (Rive-Sud Montréal),"7-718, rue des Sureaux",2,1,,1,866 pi² (80.45 m²),
98,470000$,"3311,60$","309,88$","2649,82$",,Val-Bélair,Québec Rive-Nord,"1208, rue de l'Etna",4,1,1,2,"1,356 pi² (125.98 m²)","6,695.15 pi² (622 m²)"
100,357500$,"2976,24$","206,56$","2856,00$",,Rimouski (Rimouski),Bas-Saint-Laurent,"215, rue Merisiers",2,2,,1,1 200 pi² (111.48 m²),9 899.57 pi² (919.7 m²)
101,1109900$,,,,,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"809-360, rue Atateken - Le Solano Phase 8",2,2,,1,,
102,553000$,,,,,Boischatel,Québec Rive-Nord,rue de l'Escalade - Par Construction Unik,3,1,1,2,,6 673 pi² (619.94 m²)
103,468711$,,,,,Chomedey,Laval,Le Market - unité 606,2,1,,1,989 pi² (91.88 m²),
104,550000$,"3268,00$","348,00$",,,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),"990-992, rue Marquette",5,2,,1,2 108 pi² (195.84 m²),5 000 pi² (464.52 m²)
105,575000$,"2886,00$","324,00$","2312,00$","605,00$",Laval-des-Rapides,Laval,"327, avenue Quintal",4,1,1,1,1 022 pi² (94.95 m²),6 835 pi² (634.99 m²)
106,410000$,"2770,00$","225,00$",,,Ste-Adèle,Laurentides,"1580, rue du Sommet",3,2,,2,2 240 pi² (208.1 m²),16 116 pi² (1 497.23 m²)
107,469900$,"2999,09$","309,93$",,,Repentigny (Repentigny),Lanaudière,"206-434, rue Notre-Dame",2,1,1,1,1 080 pi² (100.34 m²),
108,372000$,"2675,78$","211,96$","1500,00$",,Lavaltrie,Lanaudière,"40, rue Rose",3,2,,2,1 035 pi² (96.15 m²),5 952 pi² (552.96 m²)
109,405000$,"2238,00$","265,00$","1896,60$","756,00$",Cap-Rouge,Québec Rive-Nord,"4376, rue des Guérêts",3,2,1,2,1 408 pi² (130.81 m²),4 913.73 pi² (456.5 m²)
110,295000$,"2906,00$","199,00$","3500,00$",,Jonquière (Jonquière),Saguenay-Lac-Saint-Jean,"3852, rue de Belfort",3,3,1,1,1 056 pi² (98.11 m²),7 500 pi² (696.77 m²)
112,475000$,"5752,40$","851,54$",,,La Malbaie (Pointe-Au-Pic),Charlevoix,"6, rue Desbiens",3,3,1,1,1 430 pi² (132.85 m²),34 600 pi² (3 214.45 m²)
113,1199000$,"5149,00$","531,00$",,,Cantley,Outaouais,"23, impasse de la Chatelaine",4,2,1,2,2 300 pi² (213.68 m²),52 741 pi² (4 899.8 m²)
114,179000$,"1644,24$","137,22$","880,00$",,Limoilou,Québec Rive-Nord,"2-2300, avenue de Vitré",3,1,1,1,1 100 pi² (102.19 m²),
115,849000$,"6587,78$","509,44$","905,20$",,Gatineau (Hull),Outaouais,"11, rue de l'Embellie",5,2,2,2,"2,200 pi² (204.39 m²)","7,158.00 pi² (665 m²)"
116,290000$,"1822,50$","166,04$","2000,00$","1700,00$",Drummondville (St-Nicéphore),Centre-du-Québec,"200, rue Gamma",3,2,1,1,864 pi² (80.27 m²),17 500 pi² (1 625.8 m²)
117,1995000$,,,,,St-Donat,Lanaudière,"., chemin Ouareau Nord - Par Invesco Habitation",,,,,,225 800 pi² (20 977.51 m²)
118,749000$,"3734,00$","455,00$","977,00$","578,00$",Villeray / St-Michel / Parc-Extension,Montréal / l'Île,"302-7215, rue Marconi",2,2,,2,"1,160 pi² (107.77 m²)",
119,599900$,"3994,00$","452,00$","2335,00$",,Sherbrooke (St-Élie-d'Orford),Estrie,"944-946, rue Leonardo-Da Vinci",3,2,1,2,,32 603.88 pi² (3 029 m²)
120,599500$,"2836,38$","439,52$",,"700,57$",Ste-Julie,Montérégie (Rive-Sud Montréal),"412-1935, chemin du Fer à Cheval",2,2,,1,1 245.38 pi² (115.7 m²),
121,875000$,"5791,00$","607,78$","1750,00$","800,00$",Montcalm,Québec Rive-Nord,"234-16, rue des Jardins-Merici",2,2,,1,1 722 pi² (159.98 m²),
122,299900$,"2060,00$","148,00$","1800,00$","600,00$",Gatineau (Buckingham),Outaouais,"534, rue Matte",4,1,1,2,"1,150 pi² (106.84 m²)","3,003.13 pi² (279 m²)"
124,775000$,,,,,Magog,Estrie,"3-346, rue des Fleurons",5,2,2,2,,60x100 pi (18.29x30.48 m)
125,210000$,"1317,00$","75,00$","1200,00$","360,00$",Gatineau (Aylmer),Outaouais,"303-75, rue Pearson",2,1,,1,735 pi² (68.28 m²),1 389.62 pi² (129.1 m²)
126,752400$,,,,,Chateauguay,Montérégie (Rive-Sud Montréal),"36, rue Marc-Laplante E- Par Danolo Construction",4,2,1,2,,66x87 pi (20.12x26.52 m)
127,535000$,"1416,08$","173,04$",,,Rosemont / La Petite Patrie,Montréal / l'Île,"6667, rue de Saint-Vallier",2,1,,1,900 pi² (83.61 m²),
128,469000$,"2264,34$","184,74$","2220,00$",,St-Jérôme (Lafontaine),Laurentides,"2197, boulevard Lafontaine",4,2,,1,980 pi² (91.04 m²),6 599 pi² (613.07 m²)
129,559000$,"3637,37$","323,00$","2160,00$","1320,00$",Mascouche,Lanaudière,"333, croissant de Bourguignon",4,2,1,2,1 420 pi² (131.92 m²),3 423 pi² (318.01 m²)
130,259900$,"1451,82$","17,67$","1200,00$","360,00$",Gatineau (Aylmer),Outaouais,"301-90, chemin Eardley",3,1,,1,925 pi² (85.94 m²),163.2 pi² (15.16 m²)
131,219900$,"1317,00$","75,00$","1200,00$","600,00$",Gatineau (Aylmer),Outaouais,"402-88, rue Front",2,1,,1,734 pi² (68.19 m²),1 389.62 pi² (129.1 m²)
132,364500$,"1098,00$","167,00$","250,00$","250,00$",Brossard,Montérégie (Rive-Sud Montréal),"202-9175, rue Lennon",1,1,1,1,560 pi² (52.03 m²),
133,849000$,"4633,64$","404,38$","1881,21$","866,52$",Beloeil,Montérégie (Rive-Sud Montréal),"453, boulevard Yvon-L'Heureux Nord",4,2,,1,"1,308 pi² (121.52 m²)","11,679 pi² (1,085.01 m²)"
134,425000$,"2237,00$","219,23$","60,00$",,Fabreville,Laval,"22-4497, boulevard Dagenais Ouest",3,1,1,1,"1,288 pi² (119.66 m²)",
136,230000$,,,,,Les Éboulements,Charlevoix,"449, chemin Catherine-Delzenne",,,,,,35 000 pi² (3 251.61 m²)
137,410000$,"2659,83$","300,00$","1512,24$",,Limoilou,Québec Rive-Nord,"9-1100, rue Cadillac",3,1,,1,"1,040 pi² (96.62 m²)",
138,249000$,"2119,00$","178,13$","763,56$",,Beauport,Québec Rive-Nord,"413-2400, avenue de Lisieux",1,1,,4,776 pi² (72.09 m²),
139,999000$,,,,,La Pêche (Duclos),Outaouais,"859, chemin Parent",4,2,1,2,1 800 pi² (167.23 m²),14 374 800.04 pi² (330 acres)
140,365000$,"2947,71$","197,61$","2085,00$","3928,00$",Métabetchouan-Lac-à-la-Croix,Saguenay-Lac-Saint-Jean,"1274, rang Sainte-Anne",3,2,,2,"2,132.01 pi² (198.07 m²)","53,819.55 pi² (5,000 m²)"
141,455000$,,,"1850,00$","1300,00$",St-Félicien,Saguenay-Lac-Saint-Jean,"1036, chemin de la Montagne",3,2,,2,"1,228.16 pi² (114.1 m²)","23,822.69 pi² (2,213.2 m²)"
142,617900$,"4045,00$","384,00$","1850,00$","435,00$",Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),"201-1346, rue du Jardin",3,2,,2,1 706 pi² (158.49 m²),
143,896805$,,,,,Salaberry-De-Valleyfield,Montérégie (Rive-Sud Montréal),"., Rue Sallaberry",9,3,3,,,
144,325000$,"2521,00$","220,00$","2300,00$","2300,00$",Charny,Québec Rive-Sud (Lévis),"6224, rue des Amarantes",4,2,1,1,936 pi² (86.96 m²),"8,950 pi² (831.48 m²)"
145,490000$,"3105,00$","297,00$","2548,00$","1587,00$",Beauport,Québec Rive-Nord,"780, boulevard des Chutes",4,3,1,2,"2,175 pi² (202.06 m²)","6,066 pi² (563.55 m²)"
146,95000$,,,,,Thurso,Outaouais,"123, rue Guy-Lafleur",,,,,,8 461.51 pi² (786.1 m²)
148,598000$,"1472,00$","193,00$",,,Compton,Estrie,"610, chemin Dubé",2,1,1,2,1 700 pi² (157.94 m²),133 288 pi² (12 382.86 m²)
149,258000$,"2012,40$","113,05$","2400,00$",,St-Paulin,Mauricie,"2791, rue Henri-Paul-Milot",2,2,,1,1 120 pi² (104.05 m²),18 869 pi² (1 752.99 m²)
150,438000$,"2800,00$","700,00$","2400,00$","400,00$",Baie-St-Paul,Charlevoix,"48, chemin du Cap-aux-Corbeaux Nord",3,2,,2,1 408 pi² (130.81 m²),189 500 pi² (17 605.13 m²)
151,359000$,"1578,32$","179,81$","500,00$","342,00$",Le Plateau-Mont-Royal,Montréal / l'Île,"2-5033, rue Berri",2,1,,1,726.56 pi² (67.5 m²),
152,434900$,"2469,00$","242,86$","1186,00$","448,00$",St-Jean-sur-Richelieu (St-Athanase),Montérégie (Rive-Sud Montréal),"101-115, rue Bella",3,1,1,1,1 124 pi² (104.42 m²),
153,334900$,"2585,00$","156,36$","2400,00$","1116,00$",Trois-Rivières (St-Louis-De-France),Mauricie,"141, rue Babineau",3,1,1,1,"1,115 pi² (103.59 m²)","8,000 pi² (743.22 m²)"
154,345000$,"2985,00$","440,00$","2150,00$","900,00$",Charlesbourg,Québec Rive-Nord,"7026, avenue Grignon",4,2,,1,1 014 pi² (94.2 m²),7 215 pi² (670.3 m²)
155,749000$,"3355,00$","494,00$","3400,00$","1217,00$",Ste-Julie,Montérégie (Rive-Sud Montréal),"2018, rue de Fontainebleau",6,2,,1,1 054 pi² (97.92 m²),7 740 pi² (719.07 m²)
156,246000$,"2180,72$","181,60$","1573,00$","1084,00$",St-Georges,Chaudière-Appalaches,"2072, 85e rue",2,2,1,2,1 352 pi² (125.6 m²),4 740 pi² (440.36 m²)
157,182900$,"1589,97$","116,87$","800,00$",,Alma,Saguenay-Lac-Saint-Jean,"1335, avenue Marguerite-D'Youville",3,1,,1,30.91x30.25 pi (9.42x9.22 m),25 529.84 pi² (2 371.8 m²)
158,349000$,"2964,05$","172,24$","3451,92$",,Paspebiac,Gaspésie-Îles-de-la-Madeleine,"95, rue Day",5,2,,1,"1,881 pi² (174.75 m²)","3,825 pi² (355.35 m²)"
160,390000$,,,,,Morin-Heights,Laurentides,", rue des Huarts",,,,,,45 000 pi² (4 180.64 m²)
161,485900$,"3165,00$","287,00$","600,00$","300,00$",St-Jérôme (St-Jérôme),Laurentides,"203-140, rue Radisson",2,1,1,1,"1,360 pi² (126.35 m²)","30,000 pi² (2,787.09 m²)"
162,809900$,,,,,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"311-360, rue Atateken - Le Solano Phase 8",2,2,,1,"1,016 pi² (94.39 m²)",
